"count","bin","celltype_MMC","gene","mouse","hemisphere","age"
0,96,"OEC","Bcl11b",1,"left",12
0,95,"Immune","Bcl11b",1,"left",12
0,98,"MB Glut","Bcl11b",1,"left",12
0,100,"Astro-Epen","Bcl11b",1,"left",12
0,99,"IT-ET Glut","Bcl11b",1,"left",12
0,99,"MB GABA","Bcl11b",1,"left",12
0,99,"Astro-Epen","Bcl11b",1,"left",12
0,98,"Vascular","Bcl11b",1,"left",12
0,95,"MB Glut","Bcl11b",1,"left",12
0,99,"Astro-Epen","Bcl11b",1,"left",12
0,98,"CNU-HYa Glut","Bcl11b",1,"left",12
0,98,"IT-ET Glut","Bcl11b",1,"left",12
0,98,"MB GABA","Bcl11b",1,"left",12
1,98,"OPC-Oligo","Bcl11b",1,"left",12
0,98,"Vascular","Bcl11b",1,"left",12
0,97,"NP-CT-L6b Glut","Bcl11b",1,"left",12
0,97,"IT-ET Glut","Bcl11b",1,"left",12
0,100,"Immune","Bcl11b",1,"left",12
0,98,"Vascular","Bcl11b",1,"left",12
0,97,"Vascular","Bcl11b",1,"left",12
0,97,"Vascular","Bcl11b",1,"left",12
2,99,"IT-ET Glut","Bcl11b",1,"left",12
0,93,"IT-ET Glut","Bcl11b",1,"left",12
0,100,"MB Glut","Bcl11b",1,"left",12
1,98,"IT-ET Glut","Bcl11b",1,"left",12
0,98,"Astro-Epen","Bcl11b",1,"left",12
1,97,"IT-ET Glut","Bcl11b",1,"left",12
0,95,"IT-ET Glut","Bcl11b",1,"left",12
0,95,"IT-ET Glut","Bcl11b",1,"left",12
0,99,"Vascular","Bcl11b",1,"left",12
0,100,"IT-ET Glut","Bcl11b",1,"left",12
0,99,"IT-ET Glut","Bcl11b",1,"left",12
0,96,"IT-ET Glut","Bcl11b",1,"left",12
0,96,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
0,98,"IT-ET Glut","Bcl11b",1,"left",12
0,97,"IT-ET Glut","Bcl11b",1,"left",12
0,99,"IT-ET Glut","Bcl11b",1,"left",12
0,97,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
0,96,"IT-ET Glut","Bcl11b",1,"left",12
0,96,"IT-ET Glut","Bcl11b",1,"left",12
0,93,"IT-ET Glut","Bcl11b",1,"left",12
0,92,"IT-ET Glut","Bcl11b",1,"left",12
0,95,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,87,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,95,"IT-ET Glut","Bcl11b",1,"left",12
0,92,"IT-ET Glut","Bcl11b",1,"left",12
0,89,"IT-ET Glut","Bcl11b",1,"left",12
0,92,"IT-ET Glut","Bcl11b",1,"left",12
0,92,"Immune","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,84,"IT-ET Glut","Bcl11b",1,"left",12
0,93,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
1,86,"IT-ET Glut","Bcl11b",1,"left",12
1,88,"IT-ET Glut","Bcl11b",1,"left",12
0,89,"Vascular","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,83,"Vascular","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,86,"IT-ET Glut","Bcl11b",1,"left",12
0,93,"IT-ET Glut","Bcl11b",1,"left",12
0,85,"IT-ET Glut","Bcl11b",1,"left",12
0,87,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
1,84,"IT-ET Glut","Bcl11b",1,"left",12
0,85,"IT-ET Glut","Bcl11b",1,"left",12
0,87,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,87,"IT-ET Glut","Bcl11b",1,"left",12
0,83,"IT-ET Glut","Bcl11b",1,"left",12
0,83,"IT-ET Glut","Bcl11b",1,"left",12
0,83,"IT-ET Glut","Bcl11b",1,"left",12
1,82,"IT-ET Glut","Bcl11b",1,"left",12
0,90,"IT-ET Glut","Bcl11b",1,"left",12
1,83,"IT-ET Glut","Bcl11b",1,"left",12
1,83,"IT-ET Glut","Bcl11b",1,"left",12
1,84,"IT-ET Glut","Bcl11b",1,"left",12
0,84,"Vascular","Bcl11b",1,"left",12
0,82,"Vascular","Bcl11b",1,"left",12
0,82,"IT-ET Glut","Bcl11b",1,"left",12
0,82,"IT-ET Glut","Bcl11b",1,"left",12
0,83,"IT-ET Glut","Bcl11b",1,"left",12
1,80,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"CNU-HYa Glut","Bcl11b",1,"left",12
0,82,"IT-ET Glut","Bcl11b",1,"left",12
0,81,"IT-ET Glut","Bcl11b",1,"left",12
0,84,"IT-ET Glut","Bcl11b",1,"left",12
1,86,"CTX-MGE GABA","Bcl11b",1,"left",12
0,78,"IT-ET Glut","Bcl11b",1,"left",12
0,79,"IT-ET Glut","Bcl11b",1,"left",12
0,81,"IT-ET Glut","Bcl11b",1,"left",12
1,79,"IT-ET Glut","Bcl11b",1,"left",12
0,79,"IT-ET Glut","Bcl11b",1,"left",12
0,79,"Vascular","Bcl11b",1,"left",12
1,80,"IT-ET Glut","Bcl11b",1,"left",12
0,75,"IT-ET Glut","Bcl11b",1,"left",12
0,79,"IT-ET Glut","Bcl11b",1,"left",12
0,77,"IT-ET Glut","Bcl11b",1,"left",12
0,78,"IT-ET Glut","Bcl11b",1,"left",12
0,77,"IT-ET Glut","Bcl11b",1,"left",12
1,76,"IT-ET Glut","Bcl11b",1,"left",12
0,79,"IT-ET Glut","Bcl11b",1,"left",12
0,76,"IT-ET Glut","Bcl11b",1,"left",12
1,76,"IT-ET Glut","Bcl11b",1,"left",12
0,80,"IT-ET Glut","Bcl11b",1,"left",12
0,77,"Vascular","Bcl11b",1,"left",12
0,75,"MB GABA","Bcl11b",1,"left",12
0,76,"IT-ET Glut","Bcl11b",1,"left",12
0,73,"IT-ET Glut","Bcl11b",1,"left",12
1,73,"IT-ET Glut","Bcl11b",1,"left",12
0,74,"IT-ET Glut","Bcl11b",1,"left",12
2,73,"IT-ET Glut","Bcl11b",1,"left",12
0,73,"IT-ET Glut","Bcl11b",1,"left",12
0,73,"IT-ET Glut","Bcl11b",1,"left",12
0,73,"Immune","Bcl11b",1,"left",12
0,73,"IT-ET Glut","Bcl11b",1,"left",12
0,72,"IT-ET Glut","Bcl11b",1,"left",12
0,71,"IT-ET Glut","Bcl11b",1,"left",12
1,71,"Vascular","Bcl11b",1,"left",12
0,69,"Immune","Bcl11b",1,"left",12
0,71,"IT-ET Glut","Bcl11b",1,"left",12
0,74,"IT-ET Glut","Bcl11b",1,"left",12
0,71,"IT-ET Glut","Bcl11b",1,"left",12
0,71,"IT-ET Glut","Bcl11b",1,"left",12
0,72,"Immune","Bcl11b",1,"left",12
0,69,"Vascular","Bcl11b",1,"left",12
0,70,"Vascular","Bcl11b",1,"left",12
0,71,"IT-ET Glut","Bcl11b",1,"left",12
0,98,"Immune","Bcl11b",1,"left",12
0,99,"Vascular","Bcl11b",1,"left",12
0,94,"Immune","Bcl11b",1,"left",12
0,97,"Vascular","Bcl11b",1,"left",12
0,99,"CTX-MGE GABA","Bcl11b",1,"left",12
0,97,"Vascular","Bcl11b",1,"left",12
0,96,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"Astro-Epen","Bcl11b",1,"left",12
0,89,"Immune","Bcl11b",1,"left",12
0,95,"Astro-Epen","Bcl11b",1,"left",12
1,99,"CTX-MGE GABA","Bcl11b",1,"left",12
0,94,"Vascular","Bcl11b",1,"left",12
0,98,"Vascular","Bcl11b",1,"left",12
0,93,"IT-ET Glut","Bcl11b",1,"left",12
0,93,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
1,92,"CTX-MGE GABA","Bcl11b",1,"left",12
0,95,"IT-ET Glut","Bcl11b",1,"left",12
0,92,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
0,99,"IT-ET Glut","Bcl11b",1,"left",12
0,90,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,90,"IT-ET Glut","Bcl11b",1,"left",12
0,90,"Vascular","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,93,"IT-ET Glut","Bcl11b",1,"left",12
1,97,"IT-ET Glut","Bcl11b",1,"left",12
0,95,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
1,89,"IT-ET Glut","Bcl11b",1,"left",12
0,98,"IT-ET Glut","Bcl11b",1,"left",12
1,88,"OEC","Bcl11b",1,"left",12
1,88,"IT-ET Glut","Bcl11b",1,"left",12
0,86,"IT-ET Glut","Bcl11b",1,"left",12
0,95,"Immune","Bcl11b",1,"left",12
1,89,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,90,"IT-ET Glut","Bcl11b",1,"left",12
0,89,"IT-ET Glut","Bcl11b",1,"left",12
0,85,"Vascular","Bcl11b",1,"left",12
0,90,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,92,"IT-ET Glut","Bcl11b",1,"left",12
0,87,"IT-ET Glut","Bcl11b",1,"left",12
0,94,"IT-ET Glut","Bcl11b",1,"left",12
0,89,"IT-ET Glut","Bcl11b",1,"left",12
0,91,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,88,"IT-ET Glut","Bcl11b",1,"left",12
0,89,"IT-ET Glut","Bcl11b",1,"left",12
