"mouse","ZT","bin","gene","count"
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0.000199457495195787
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",1.76186710696413e-05
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0.00141832213039983
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0.00252795827764629
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",1.56512445670387e-07
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",4.34460263321057e-07
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",1.0769150012635e-05
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0.00010846685365884
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",2.24598126763453e-06
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",4.28251294071202e-05
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",5.26711719395223e-06
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",5.24945733797466e-05
1,0,1,"arntl",0
