"mouse","ZT","bin","gene","count"
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",2
1,0,1,"arntl",0
1,0,1,"arntl",0
1,0,1,"arntl",0
