"count","bin","context","species","ran","hemisphere","age"
0,100,"cortex","Bcl11b",1,"left",12
0,99,"cortex","Bcl11b",1,"left",12
0,93,"cortex","Bcl11b",1,"left",12
0,98,"cortex","Bcl11b",1,"left",12
0,94,"cortex","Bcl11b",1,"left",12
0,94,"cortex","Bcl11b",1,"left",12
0,88,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
0,87,"cortex","Bcl11b",1,"left",12
0,85,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
0,88,"cortex","Bcl11b",1,"left",12
0,88,"cortex","Bcl11b",1,"left",12
0,84,"cortex","Bcl11b",1,"left",12
1,88,"cortex","Bcl11b",1,"left",12
0,84,"cortex","Bcl11b",1,"left",12
0,90,"cortex","Bcl11b",1,"left",12
0,87,"cortex","Bcl11b",1,"left",12
0,90,"cortex","Bcl11b",1,"left",12
0,83,"cortex","Bcl11b",1,"left",12
0,88,"cortex","Bcl11b",1,"left",12
0,83,"cortex","Bcl11b",1,"left",12
0,85,"cortex","Bcl11b",1,"left",12
0,81,"cortex","Bcl11b",1,"left",12
0,79,"cortex","Bcl11b",1,"left",12
0,85,"cortex","Bcl11b",1,"left",12
0,86,"cortex","Bcl11b",1,"left",12
0,86,"cortex","Bcl11b",1,"left",12
0,86,"cortex","Bcl11b",1,"left",12
0,84,"cortex","Bcl11b",1,"left",12
2,81,"cortex","Bcl11b",1,"left",12
0,80,"cortex","Bcl11b",1,"left",12
0,81,"cortex","Bcl11b",1,"left",12
1,81,"cortex","Bcl11b",1,"left",12
0,82,"cortex","Bcl11b",1,"left",12
0,80,"cortex","Bcl11b",1,"left",12
0,84,"cortex","Bcl11b",1,"left",12
0,82,"cortex","Bcl11b",1,"left",12
0,76,"cortex","Bcl11b",1,"left",12
0,75,"cortex","Bcl11b",1,"left",12
0,80,"cortex","Bcl11b",1,"left",12
0,82,"cortex","Bcl11b",1,"left",12
0,80,"cortex","Bcl11b",1,"left",12
1,77,"cortex","Bcl11b",1,"left",12
0,77,"cortex","Bcl11b",1,"left",12
1,82,"cortex","Bcl11b",1,"left",12
0,81,"cortex","Bcl11b",1,"left",12
1,99,"cortex","Bcl11b",1,"left",12
0,99,"cortex","Bcl11b",1,"left",12
0,98,"cortex","Bcl11b",1,"left",12
0,99,"cortex","Bcl11b",1,"left",12
0,99,"cortex","Bcl11b",1,"left",12
0,99,"cortex","Bcl11b",1,"left",12
0,97,"cortex","Bcl11b",1,"left",12
0,99,"cortex","Bcl11b",1,"left",12
0,98,"cortex","Bcl11b",1,"left",12
1,98,"cortex","Bcl11b",1,"left",12
0,97,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
0,99,"cortex","Bcl11b",1,"left",12
0,97,"cortex","Bcl11b",1,"left",12
0,97,"cortex","Bcl11b",1,"left",12
0,97,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
0,97,"cortex","Bcl11b",1,"left",12
0,97,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
0,93,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
0,94,"cortex","Bcl11b",1,"left",12
0,96,"cortex","Bcl11b",1,"left",12
1,94,"cortex","Bcl11b",1,"left",12
0,94,"cortex","Bcl11b",1,"left",12
0,100,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
1,93,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,93,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,98,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,93,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,93,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,93,"cortex","Bcl11b",1,"left",12
0,91,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
0,91,"cortex","Bcl11b",1,"left",12
0,91,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,91,"cortex","Bcl11b",1,"left",12
0,92,"cortex","Bcl11b",1,"left",12
0,90,"cortex","Bcl11b",1,"left",12
0,91,"cortex","Bcl11b",1,"left",12
0,90,"cortex","Bcl11b",1,"left",12
0,90,"cortex","Bcl11b",1,"left",12
0,95,"cortex","Bcl11b",1,"left",12
