"count","bin","cortex","gene","mouse","cell_num","hemisphere","age"
0,97,"cortex","Bcl11b","1","86","left","12"
0,97,"cortex","Bcl11b","1","88","left","12"
0,98,"cortex","Bcl11b","1","89","left","12"
0,97,"cortex","Bcl11b","1","91","left","12"
0,98,"cortex","Bcl11b","1","92","left","12"
0,99,"cortex","Bcl11b","1","93","left","12"
0,96,"cortex","Bcl11b","1","94","left","12"
0,99,"cortex","Bcl11b","1","96","left","12"
0,96,"cortex","Bcl11b","1","97","left","12"
0,99,"cortex","Bcl11b","1","98","left","12"
0,96,"cortex","Bcl11b","1","113","left","12"
0,97,"cortex","Bcl11b","1","118","left","12"
0,95,"cortex","Bcl11b","1","121","left","12"
1,98,"cortex","Bcl11b","1","125","left","12"
0,95,"cortex","Bcl11b","1","127","left","12"
0,93,"cortex","Bcl11b","1","128","left","12"
0,97,"cortex","Bcl11b","1","129","left","12"
0,96,"cortex","Bcl11b","1","130","left","12"
0,98,"cortex","Bcl11b","1","131","left","12"
0,97,"cortex","Bcl11b","1","132","left","12"
0,98,"cortex","Bcl11b","1","133","left","12"
2,99,"cortex","Bcl11b","1","837","left","12"
0,98,"cortex","Bcl11b","1","839","left","12"
0,99,"cortex","Bcl11b","1","840","left","12"
1,99,"cortex","Bcl11b","1","841","left","12"
0,100,"cortex","Bcl11b","1","843","left","12"
1,98,"cortex","Bcl11b","1","844","left","12"
0,100,"cortex","Bcl11b","1","846","left","12"
0,96,"cortex","Bcl11b","1","848","left","12"
0,98,"cortex","Bcl11b","1","849","left","12"
0,99,"cortex","Bcl11b","1","850","left","12"
0,99,"cortex","Bcl11b","1","851","left","12"
0,98,"cortex","Bcl11b","1","852","left","12"
0,99,"cortex","Bcl11b","1","854","left","12"
0,95,"cortex","Bcl11b","1","857","left","12"
0,96,"cortex","Bcl11b","1","858","left","12"
0,99,"cortex","Bcl11b","1","859","left","12"
0,99,"cortex","Bcl11b","1","861","left","12"
0,98,"cortex","Bcl11b","1","862","left","12"
0,98,"cortex","Bcl11b","1","863","left","12"
0,97,"cortex","Bcl11b","1","866","left","12"
0,96,"cortex","Bcl11b","1","867","left","12"
0,94,"cortex","Bcl11b","1","871","left","12"
0,97,"cortex","Bcl11b","1","872","left","12"
0,99,"cortex","Bcl11b","1","873","left","12"
0,96,"cortex","Bcl11b","1","874","left","12"
0,95,"cortex","Bcl11b","1","877","left","12"
0,96,"cortex","Bcl11b","1","878","left","12"
0,93,"cortex","Bcl11b","1","880","left","12"
0,91,"cortex","Bcl11b","1","882","left","12"
0,95,"cortex","Bcl11b","1","883","left","12"
0,97,"cortex","Bcl11b","1","884","left","12"
0,94,"cortex","Bcl11b","1","885","left","12"
0,95,"cortex","Bcl11b","1","886","left","12"
0,94,"cortex","Bcl11b","1","888","left","12"
0,95,"cortex","Bcl11b","1","890","left","12"
0,91,"cortex","Bcl11b","1","892","left","12"
0,90,"cortex","Bcl11b","1","893","left","12"
0,94,"cortex","Bcl11b","1","896","left","12"
0,94,"cortex","Bcl11b","1","897","left","12"
0,93,"cortex","Bcl11b","1","898","left","12"
0,92,"cortex","Bcl11b","1","901","left","12"
0,95,"cortex","Bcl11b","1","903","left","12"
1,95,"cortex","Bcl11b","1","906","left","12"
1,92,"cortex","Bcl11b","1","907","left","12"
0,90,"cortex","Bcl11b","1","909","left","12"
0,92,"cortex","Bcl11b","1","910","left","12"
0,91,"cortex","Bcl11b","1","911","left","12"
0,92,"cortex","Bcl11b","1","913","left","12"
0,91,"cortex","Bcl11b","1","916","left","12"
0,94,"cortex","Bcl11b","1","917","left","12"
0,89,"cortex","Bcl11b","1","919","left","12"
0,90,"cortex","Bcl11b","1","921","left","12"
0,89,"cortex","Bcl11b","1","922","left","12"
0,90,"cortex","Bcl11b","1","923","left","12"
1,90,"cortex","Bcl11b","1","925","left","12"
0,90,"cortex","Bcl11b","1","926","left","12"
0,89,"cortex","Bcl11b","1","927","left","12"
0,88,"cortex","Bcl11b","1","930","left","12"
0,90,"cortex","Bcl11b","1","932","left","12"
0,86,"cortex","Bcl11b","1","933","left","12"
0,89,"cortex","Bcl11b","1","934","left","12"
0,88,"cortex","Bcl11b","1","937","left","12"
1,86,"cortex","Bcl11b","1","938","left","12"
0,88,"cortex","Bcl11b","1","939","left","12"
1,87,"cortex","Bcl11b","1","940","left","12"
1,87,"cortex","Bcl11b","1","941","left","12"
1,87,"cortex","Bcl11b","1","942","left","12"
0,90,"cortex","Bcl11b","1","945","left","12"
0,85,"cortex","Bcl11b","1","946","left","12"
0,86,"cortex","Bcl11b","1","949","left","12"
0,86,"cortex","Bcl11b","1","950","left","12"
0,85,"cortex","Bcl11b","1","951","left","12"
1,86,"cortex","Bcl11b","1","952","left","12"
0,86,"cortex","Bcl11b","1","953","left","12"
0,86,"cortex","Bcl11b","1","954","left","12"
0,84,"cortex","Bcl11b","1","957","left","12"
0,84,"cortex","Bcl11b","1","958","left","12"
1,85,"cortex","Bcl11b","1","962","left","12"
0,84,"cortex","Bcl11b","1","963","left","12"
0,84,"cortex","Bcl11b","1","964","left","12"
0,84,"cortex","Bcl11b","1","966","left","12"
1,85,"cortex","Bcl11b","1","968","left","12"
0,83,"cortex","Bcl11b","1","970","left","12"
0,82,"cortex","Bcl11b","1","972","left","12"
1,81,"cortex","Bcl11b","1","973","left","12"
0,82,"cortex","Bcl11b","1","974","left","12"
0,82,"cortex","Bcl11b","1","975","left","12"
0,82,"cortex","Bcl11b","1","976","left","12"
0,80,"cortex","Bcl11b","1","977","left","12"
0,80,"cortex","Bcl11b","1","980","left","12"
1,79,"cortex","Bcl11b","1","981","left","12"
0,88,"cortex","Bcl11b","1","985","left","12"
0,79,"cortex","Bcl11b","1","987","left","12"
1,80,"cortex","Bcl11b","1","988","left","12"
0,79,"cortex","Bcl11b","1","989","left","12"
0,80,"cortex","Bcl11b","1","992","left","12"
0,79,"cortex","Bcl11b","1","993","left","12"
0,79,"cortex","Bcl11b","1","994","left","12"
0,78,"cortex","Bcl11b","1","998","left","12"
1,77,"cortex","Bcl11b","1","1001","left","12"
0,77,"cortex","Bcl11b","1","1002","left","12"
2,76,"cortex","Bcl11b","1","1003","left","12"
0,76,"cortex","Bcl11b","1","1004","left","12"
0,78,"cortex","Bcl11b","1","1006","left","12"
0,76,"cortex","Bcl11b","1","1009","left","12"
0,78,"cortex","Bcl11b","1","1010","left","12"
0,75,"cortex","Bcl11b","1","1014","left","12"
0,80,"cortex","Bcl11b","1","1018","left","12"
1,73,"cortex","Bcl11b","1","1019","left","12"
0,75,"cortex","Bcl11b","1","1020","left","12"
0,75,"cortex","Bcl11b","1","1021","left","12"
0,73,"cortex","Bcl11b","1","1022","left","12"
0,74,"cortex","Bcl11b","1","1023","left","12"
0,76,"cortex","Bcl11b","1","1024","left","12"
0,75,"cortex","Bcl11b","1","1026","left","12"
0,74,"cortex","Bcl11b","1","1028","left","12"
0,73,"cortex","Bcl11b","1","1031","left","12"
0,74,"cortex","Bcl11b","1","1037","left","12"
0,96,"cortex","Bcl11b","1","1038","left","12"
0,98,"cortex","Bcl11b","1","1039","left","12"
0,97,"cortex","Bcl11b","1","1040","left","12"
0,93,"cortex","Bcl11b","1","1041","left","12"
